,genero,edad,pais,nivel de estudios,puesto de trabajo,sector,tamaño de la compañia,continente,rama,lon,lat
28,Man,25-29,Indonesia,Bachelor’s degree,Business Analyst,Computers/Technology,"10,000 or more employees",Asia,data,106.84513,-6.21462
29,Man,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer,106.84513,-6.21462
30,Man,22-24,Indonesia,Bachelor’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data,106.84513,-6.21462
31,Man,22-24,Indonesia,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
32,Man,30-34,Indonesia,Master’s degree,Data Scientist,Academics/Education,"1000-9,999 employees",Asia,data,106.84513,-6.21462
33,Man,25-29,Indonesia,Master’s degree,Program/Project Manager,Other,0-49 employees,Asia,other,106.84513,-6.21462
34,Man,18-21,Indonesia,Bachelor’s degree,DBA/Database Engineer,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
35,Man,35-39,Indonesia,Doctoral degree,Data Analyst,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
36,Man,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Program/Project Manager,Computers/Technology,0-49 employees,Asia,other,106.84513,-6.21462
37,Man,30-34,Indonesia,Bachelor’s degree,Data Analyst,Academics/Education,"1000-9,999 employees",Asia,data,106.84513,-6.21462
38,Man,25-29,Indonesia,Bachelor’s degree,Data Analyst,Other,0-49 employees,Asia,data,106.84513,-6.21462
39,Man,18-21,Indonesia,Bachelor’s degree,Software Engineer,,,Asia,developer,106.84513,-6.21462
40,Man,18-21,Indonesia,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
41,Man,25-29,Indonesia,Bachelor’s degree,Data Scientist,Retail/Sales,"1000-9,999 employees",Asia,data,106.84513,-6.21462
42,Woman,40-44,Indonesia,Bachelor’s degree,Data Scientist,Government/Public Service,50-249 employees,Asia,data,106.84513,-6.21462
43,Woman,50-54,Indonesia,Doctoral degree,Program/Project Manager,Government/Public Service,0-49 employees,Asia,other,106.84513,-6.21462
44,Woman,18-21,Indonesia,Master’s degree,Machine Learning Engineer,Energy/Mining,0-49 employees,Asia,data,106.84513,-6.21462
45,Man,22-24,Indonesia,No formal education past high school,Data Analyst,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
46,Man,45-49,Indonesia,Bachelor’s degree,Program/Project Manager,Accounting/Finance,"10,000 or more employees",Asia,other,106.84513,-6.21462
47,Man,22-24,Indonesia,Bachelor’s degree,Data Analyst,Marketing/CRM,"10,000 or more employees",Asia,data,106.84513,-6.21462
48,Man,22-24,Indonesia,Bachelor’s degree,Data Analyst,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
49,Man,22-24,Indonesia,Bachelor’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data,106.84513,-6.21462
50,Man,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data,106.84513,-6.21462
51,Man,18-21,Indonesia,Bachelor’s degree,Data Scientist,Energy/Mining,"10,000 or more employees",Asia,data,106.84513,-6.21462
52,Man,45-49,Indonesia,Master’s degree,Research Scientist,Computers/Technology,250-999 employees,Asia,data,106.84513,-6.21462
53,Man,22-24,Indonesia,Bachelor’s degree,Data Analyst,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
54,Man,22-24,Indonesia,Master’s degree,Product Manager,Computers/Technology,0-49 employees,Asia,other,106.84513,-6.21462
55,Woman,30-34,Indonesia,Some college/university study without earning a bachelor’s degree,Business Analyst,Broadcasting/Communications,0-49 employees,Asia,data,106.84513,-6.21462
56,Woman,22-24,Indonesia,Bachelor’s degree,Data Analyst,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
57,Man,50-54,Indonesia,Master’s degree,Data Scientist,Medical/Pharmaceutical,0-49 employees,Asia,data,106.84513,-6.21462
58,Man,18-21,Indonesia,Bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer,106.84513,-6.21462
59,Man,18-21,Indonesia,Bachelor’s degree,Business Analyst,,,Asia,data,106.84513,-6.21462
60,Man,22-24,Indonesia,Bachelor’s degree,Data Analyst,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
61,Man,45-49,Indonesia,Master’s degree,Research Scientist,Academics/Education,250-999 employees,Asia,data,106.84513,-6.21462
62,Man,25-29,Indonesia,Bachelor’s degree,Data Analyst,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
63,Man,18-21,Indonesia,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
64,Man,30-34,Indonesia,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,Asia,data,106.84513,-6.21462
65,Woman,25-29,Indonesia,Some college/university study without earning a bachelor’s degree,Business Analyst,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
66,Man,40-44,Indonesia,Master’s degree,Data Scientist,Non-profit/Service,250-999 employees,Asia,data,106.84513,-6.21462
67,Man,30-34,Indonesia,No formal education past high school,Machine Learning Engineer,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
68,Man,40-44,Indonesia,Professional doctorate,Data Scientist,Broadcasting/Communications,250-999 employees,Asia,data,106.84513,-6.21462
69,Man,30-34,Indonesia,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,"10,000 or more employees",Asia,data,106.84513,-6.21462
70,Man,18-21,Indonesia,I prefer not to answer,Data Scientist,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
71,Man,22-24,Indonesia,Bachelor’s degree,Data Scientist,Broadcasting/Communications,50-249 employees,Asia,data,106.84513,-6.21462
72,Man,18-21,Indonesia,No formal education past high school,Program/Project Manager,Marketing/CRM,0-49 employees,Asia,other,106.84513,-6.21462
73,Woman,40-44,Indonesia,Master’s degree,Machine Learning Engineer,Other,50-249 employees,Asia,data,106.84513,-6.21462
74,Man,25-29,Indonesia,Bachelor’s degree,Data Scientist,Computers/Technology,250-999 employees,Asia,data,106.84513,-6.21462
75,Man,18-21,Indonesia,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
76,Woman,40-44,Indonesia,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,Asia,data,106.84513,-6.21462
77,Man,25-29,Indonesia,Bachelor’s degree,Data Engineer,Computers/Technology,"1000-9,999 employees",Asia,data,106.84513,-6.21462
78,Man,18-21,Indonesia,Bachelor’s degree,Statistician,Government/Public Service,"10,000 or more employees",Asia,other,106.84513,-6.21462
79,Man,25-29,Indonesia,Master’s degree,Data Engineer,Accounting/Finance,50-249 employees,Asia,data,106.84513,-6.21462
80,Man,35-39,Indonesia,I prefer not to answer,Business Analyst,Shipping/Transportation,"1000-9,999 employees",Asia,data,106.84513,-6.21462
81,Man,25-29,Indonesia,Bachelor’s degree,Data Analyst,Shipping/Transportation,250-999 employees,Asia,data,106.84513,-6.21462
82,Man,25-29,Indonesia,Bachelor’s degree,Data Analyst,Accounting/Finance,"10,000 or more employees",Asia,data,106.84513,-6.21462
83,Man,18-21,Indonesia,Bachelor’s degree,Statistician,Academics/Education,"1000-9,999 employees",Asia,other,106.84513,-6.21462
84,Man,30-34,Indonesia,Master’s degree,Data Analyst,Government/Public Service,50-249 employees,Asia,data,106.84513,-6.21462
85,Man,30-34,Indonesia,Master’s degree,Software Engineer,Academics/Education,0-49 employees,Asia,developer,106.84513,-6.21462
86,Man,40-44,Indonesia,Master’s degree,Data Scientist,Marketing/CRM,"10,000 or more employees",Asia,data,106.84513,-6.21462
87,Man,35-39,Indonesia,Master’s degree,Data Analyst,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
88,Man,22-24,Indonesia,Some college/university study without earning a bachelor’s degree,Data Analyst,Manufacturing/Fabrication,250-999 employees,Asia,data,106.84513,-6.21462
89,Man,35-39,Indonesia,Bachelor’s degree,Data Analyst,Shipping/Transportation,"1000-9,999 employees",Asia,data,106.84513,-6.21462
90,Man,25-29,Indonesia,Bachelor’s degree,Data Scientist,Online Service/Internet-based Services,50-249 employees,Asia,data,106.84513,-6.21462
91,Man,25-29,Indonesia,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,"10,000 or more employees",Asia,data,106.84513,-6.21462
92,Man,35-39,Indonesia,I prefer not to answer,Program/Project Manager,Computers/Technology,0-49 employees,Asia,other,106.84513,-6.21462
93,Man,18-21,Indonesia,Master’s degree,Machine Learning Engineer,Broadcasting/Communications,0-49 employees,Asia,data,106.84513,-6.21462
94,Man,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Academics/Education,50-249 employees,Asia,data,106.84513,-6.21462
95,Man,25-29,Indonesia,Master’s degree,DBA/Database Engineer,Government/Public Service,0-49 employees,Asia,data,106.84513,-6.21462
96,Man,22-24,Indonesia,Master’s degree,Business Analyst,Insurance/Risk Assessment,250-999 employees,Asia,data,106.84513,-6.21462
97,Man,40-44,Indonesia,Master’s degree,Data Scientist,Academics/Education,250-999 employees,Asia,data,106.84513,-6.21462
98,Man,30-34,Indonesia,Master’s degree,Research Scientist,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
99,Man,50-54,Indonesia,Master’s degree,Product Manager,Government/Public Service,250-999 employees,Asia,other,106.84513,-6.21462
100,Woman,18-21,Indonesia,Bachelor’s degree,Data Analyst,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
101,Woman,22-24,Indonesia,Master’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data,106.84513,-6.21462
102,Man,30-34,Indonesia,No formal education past high school,Business Analyst,Online Business/Internet-based Sales,0-49 employees,Asia,data,106.84513,-6.21462
103,Man,18-21,Indonesia,Bachelor’s degree,Software Engineer,Other,0-49 employees,Asia,developer,106.84513,-6.21462
104,Man,22-24,Indonesia,Bachelor’s degree,Program/Project Manager,Academics/Education,50-249 employees,Asia,other,106.84513,-6.21462
105,Man,25-29,Indonesia,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,"1000-9,999 employees",Asia,data,106.84513,-6.21462
106,Woman,50-54,Indonesia,Doctoral degree,Research Scientist,Medical/Pharmaceutical,250-999 employees,Asia,data,106.84513,-6.21462
107,Woman,18-21,Indonesia,Bachelor’s degree,Data Analyst,,,Asia,data,106.84513,-6.21462
108,Man,25-29,Indonesia,Bachelor’s degree,Data Engineer,Accounting/Finance,50-249 employees,Asia,data,106.84513,-6.21462
109,Man,18-21,Indonesia,I prefer not to answer,Data Analyst,Academics/Education,,Asia,data,106.84513,-6.21462
110,Man,35-39,Indonesia,Master’s degree,Data Analyst,Academics/Education,50-249 employees,Asia,data,106.84513,-6.21462
111,Man,35-39,Indonesia,Master’s degree,Statistician,Government/Public Service,50-249 employees,Asia,other,106.84513,-6.21462
112,Man,30-34,Indonesia,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,Asia,data,106.84513,-6.21462
113,Man,18-21,Indonesia,Bachelor’s degree,Research Scientist,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
114,Man,30-34,Indonesia,Bachelor’s degree,Data Scientist,Manufacturing/Fabrication,"1000-9,999 employees",Asia,data,106.84513,-6.21462
115,Woman,22-24,Indonesia,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
116,Man,55-59,Indonesia,Master’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data,106.84513,-6.21462
117,Woman,25-29,Indonesia,Master’s degree,Statistician,Academics/Education,"1000-9,999 employees",Asia,other,106.84513,-6.21462
118,Man,25-29,Indonesia,Bachelor’s degree,Data Scientist,Accounting/Finance,250-999 employees,Asia,data,106.84513,-6.21462
119,Man,45-49,Indonesia,Doctoral degree,Machine Learning Engineer,Computers/Technology,250-999 employees,Asia,data,106.84513,-6.21462
120,Man,25-29,Indonesia,Bachelor’s degree,Data Analyst,Academics/Education,50-249 employees,Asia,data,106.84513,-6.21462
121,Man,35-39,Indonesia,Master’s degree,Software Engineer,Academics/Education,"1000-9,999 employees",Asia,developer,106.84513,-6.21462
122,Man,50-54,Indonesia,Master’s degree,Business Analyst,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
123,Man,30-34,Indonesia,Master’s degree,Software Engineer,Online Service/Internet-based Services,0-49 employees,Asia,developer,106.84513,-6.21462
124,Man,25-29,Indonesia,Master’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data,106.84513,-6.21462
125,Man,18-21,Indonesia,Master’s degree,Data Scientist,Medical/Pharmaceutical,0-49 employees,Asia,data,106.84513,-6.21462
126,Man,22-24,Indonesia,Bachelor’s degree,Software Engineer,Government/Public Service,"1000-9,999 employees",Asia,developer,106.84513,-6.21462
127,Man,30-34,Indonesia,Master’s degree,Software Engineer,Retail/Sales,"10,000 or more employees",Asia,developer,106.84513,-6.21462
128,Woman,45-49,Indonesia,Doctoral degree,Business Analyst,Government/Public Service,"10,000 or more employees",Asia,data,106.84513,-6.21462
129,Man,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,,,Asia,data,106.84513,-6.21462
130,Woman,22-24,Indonesia,Bachelor’s degree,Business Analyst,,,Asia,data,106.84513,-6.21462
131,Man,22-24,Indonesia,Master’s degree,Data Engineer,Insurance/Risk Assessment,250-999 employees,Asia,data,106.84513,-6.21462
132,Man,22-24,Indonesia,Master’s degree,Machine Learning Engineer,Online Business/Internet-based Sales,50-249 employees,Asia,data,106.84513,-6.21462
133,Woman,18-21,Indonesia,Master’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
134,Woman,18-21,Indonesia,Bachelor’s degree,Data Analyst,Academics/Education,"10,000 or more employees",Asia,data,106.84513,-6.21462
135,Woman,22-24,Indonesia,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,50-249 employees,Asia,data,106.84513,-6.21462
136,Man,30-34,Indonesia,Bachelor’s degree,Data Scientist,Energy/Mining,"1000-9,999 employees",Asia,data,106.84513,-6.21462
137,Man,22-24,Indonesia,Master’s degree,Business Analyst,Accounting/Finance,0-49 employees,Asia,data,106.84513,-6.21462
138,Man,40-44,Indonesia,Master’s degree,Data Scientist,Academics/Education,250-999 employees,Asia,data,106.84513,-6.21462
139,Man,18-21,Indonesia,I prefer not to answer,Data Analyst,Accounting/Finance,0-49 employees,Asia,data,106.84513,-6.21462
140,Man,25-29,Indonesia,Master’s degree,Data Scientist,Computers/Technology,250-999 employees,Asia,data,106.84513,-6.21462
141,Man,30-34,Indonesia,Master’s degree,Research Scientist,Energy/Mining,"1000-9,999 employees",Asia,data,106.84513,-6.21462
142,Man,18-21,Indonesia,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
143,Man,30-34,Indonesia,Bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer,106.84513,-6.21462
144,Man,25-29,Indonesia,Master’s degree,Data Engineer,Government/Public Service,50-249 employees,Asia,data,106.84513,-6.21462
145,Man,40-44,Indonesia,Master’s degree,Statistician,Academics/Education,50-249 employees,Asia,other,106.84513,-6.21462
146,Woman,18-21,Indonesia,Master’s degree,Data Engineer,Medical/Pharmaceutical,0-49 employees,Asia,data,106.84513,-6.21462
147,Man,25-29,Indonesia,Master’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
148,Man,22-24,Indonesia,Bachelor’s degree,Statistician,Medical/Pharmaceutical,"1000-9,999 employees",Asia,other,106.84513,-6.21462
149,Man,30-34,Indonesia,No formal education past high school,Data Engineer,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
150,Man,18-21,Indonesia,Bachelor’s degree,Data Scientist,Computers/Technology,250-999 employees,Asia,data,106.84513,-6.21462
151,Woman,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Data Analyst,Medical/Pharmaceutical,"10,000 or more employees",Asia,data,106.84513,-6.21462
152,Man,22-24,Indonesia,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
153,Woman,25-29,Indonesia,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
154,Man,30-34,Indonesia,Bachelor’s degree,Business Analyst,Online Service/Internet-based Services,50-249 employees,Asia,data,106.84513,-6.21462
155,Man,50-54,Indonesia,Doctoral degree,Machine Learning Engineer,Academics/Education,250-999 employees,Asia,data,106.84513,-6.21462
156,Man,35-39,Indonesia,Some college/university study without earning a bachelor’s degree,Data Engineer,Government/Public Service,"1000-9,999 employees",Asia,data,106.84513,-6.21462
157,Man,25-29,Indonesia,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
158,Man,55-59,Indonesia,Some college/university study without earning a bachelor’s degree,Software Engineer,Medical/Pharmaceutical,50-249 employees,Asia,developer,106.84513,-6.21462
159,Man,22-24,Indonesia,Bachelor’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees",Asia,developer,106.84513,-6.21462
160,Man,25-29,Indonesia,Master’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
161,Woman,22-24,Indonesia,Bachelor’s degree,Statistician,Government/Public Service,50-249 employees,Asia,other,106.84513,-6.21462
162,Woman,22-24,Indonesia,Bachelor’s degree,Software Engineer,Academics/Education,0-49 employees,Asia,developer,106.84513,-6.21462
163,Man,25-29,Indonesia,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
164,Woman,25-29,Indonesia,Bachelor’s degree,Business Analyst,Retail/Sales,50-249 employees,Asia,data,106.84513,-6.21462
165,Man,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data,106.84513,-6.21462
166,Man,30-34,Indonesia,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
167,Man,40-44,Indonesia,Master’s degree,Data Analyst,Manufacturing/Fabrication,"1000-9,999 employees",Asia,data,106.84513,-6.21462
168,Man,50-54,Indonesia,Master’s degree,Data Scientist,Academics/Education,"1000-9,999 employees",Asia,data,106.84513,-6.21462
169,Woman,25-29,Indonesia,Doctoral degree,Statistician,Non-profit/Service,250-999 employees,Asia,other,106.84513,-6.21462
170,Woman,25-29,Indonesia,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,0-49 employees,Asia,data,106.84513,-6.21462
171,Man,22-24,Indonesia,Bachelor’s degree,Data Engineer,Insurance/Risk Assessment,0-49 employees,Asia,data,106.84513,-6.21462
172,Man,18-21,Indonesia,Master’s degree,Data Engineer,Shipping/Transportation,"1000-9,999 employees",Asia,data,106.84513,-6.21462
173,Woman,22-24,Indonesia,Bachelor’s degree,Data Scientist,Retail/Sales,0-49 employees,Asia,data,106.84513,-6.21462
174,Man,25-29,Indonesia,Master’s degree,Program/Project Manager,Manufacturing/Fabrication,"1000-9,999 employees",Asia,other,106.84513,-6.21462
175,Man,18-21,Indonesia,Bachelor’s degree,Research Scientist,Academics/Education,50-249 employees,Asia,data,106.84513,-6.21462
176,Man,35-39,Indonesia,Bachelor’s degree,Data Engineer,Accounting/Finance,"1000-9,999 employees",Asia,data,106.84513,-6.21462
177,Woman,22-24,Indonesia,Bachelor’s degree,Software Engineer,Academics/Education,0-49 employees,Asia,developer,106.84513,-6.21462
178,Man,22-24,Indonesia,Bachelor’s degree,Data Scientist,Accounting/Finance,50-249 employees,Asia,data,106.84513,-6.21462
179,Man,22-24,Indonesia,Master’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data,106.84513,-6.21462
180,Man,18-21,Indonesia,Bachelor’s degree,Data Analyst,Academics/Education,"1000-9,999 employees",Asia,data,106.84513,-6.21462
181,Man,22-24,Indonesia,Bachelor’s degree,Software Engineer,Academics/Education,0-49 employees,Asia,developer,106.84513,-6.21462
182,Man,25-29,Indonesia,Master’s degree,Data Scientist,Accounting/Finance,0-49 employees,Asia,data,106.84513,-6.21462
183,Man,22-24,Indonesia,No formal education past high school,Data Engineer,Energy/Mining,50-249 employees,Asia,data,106.84513,-6.21462
184,Man,30-34,Indonesia,Bachelor’s degree,Business Analyst,Retail/Sales,"10,000 or more employees",Asia,data,106.84513,-6.21462
185,Man,25-29,Indonesia,Bachelor’s degree,Data Engineer,Hospitality/Entertainment/Sports,0-49 employees,Asia,data,106.84513,-6.21462
186,Woman,25-29,Indonesia,Master’s degree,Data Analyst,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
187,Man,40-44,Indonesia,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,Asia,data,106.84513,-6.21462
188,Man,18-21,Indonesia,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data,106.84513,-6.21462
189,Man,30-34,Indonesia,Master’s degree,Machine Learning Engineer,Insurance/Risk Assessment,"1000-9,999 employees",Asia,data,106.84513,-6.21462
190,Man,40-44,Indonesia,Master’s degree,Data Scientist,Medical/Pharmaceutical,"1000-9,999 employees",Asia,data,106.84513,-6.21462
191,Woman,25-29,Indonesia,Bachelor’s degree,Business Analyst,Retail/Sales,50-249 employees,Asia,data,106.84513,-6.21462
192,Man,22-24,Indonesia,Bachelor’s degree,Program/Project Manager,Academics/Education,50-249 employees,Asia,other,106.84513,-6.21462
193,Woman,18-21,Indonesia,Professional doctorate,Data Scientist,Academics/Education,"10,000 or more employees",Asia,data,106.84513,-6.21462
194,Woman,18-21,Indonesia,Bachelor’s degree,Research Scientist,Academics/Education,,Asia,data,106.84513,-6.21462
195,Man,30-34,Indonesia,Bachelor’s degree,Product Manager,,,Asia,other,106.84513,-6.21462
196,Man,18-21,Indonesia,Bachelor’s degree,Data Engineer,Academics/Education,50-249 employees,Asia,data,106.84513,-6.21462
197,Man,18-21,Indonesia,Bachelor’s degree,Data Scientist,Computers/Technology,50-249 employees,Asia,data,106.84513,-6.21462
198,Man,40-44,Indonesia,Bachelor’s degree,Software Engineer,Government/Public Service,0-49 employees,Asia,developer,106.84513,-6.21462
199,Man,30-34,Indonesia,Bachelor’s degree,Data Analyst,Accounting/Finance,"10,000 or more employees",Asia,data,106.84513,-6.21462
200,Man,45-49,Indonesia,Doctoral degree,Data Scientist,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
201,Man,25-29,Indonesia,Master’s degree,DBA/Database Engineer,Computers/Technology,50-249 employees,Asia,data,106.84513,-6.21462
202,Woman,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
203,Man,30-34,Indonesia,I prefer not to answer,Software Engineer,Computers/Technology,0-49 employees,Asia,developer,106.84513,-6.21462
204,Man,30-34,Indonesia,I prefer not to answer,Data Analyst,,,Asia,data,106.84513,-6.21462
205,Man,18-21,Indonesia,Master’s degree,Research Scientist,Academics/Education,0-49 employees,Asia,data,106.84513,-6.21462
206,Man,18-21,Indonesia,Bachelor’s degree,Machine Learning Engineer,Other,0-49 employees,Asia,data,106.84513,-6.21462
207,Man,25-29,Indonesia,Master’s degree,Software Engineer,Academics/Education,0-49 employees,Asia,developer,106.84513,-6.21462
208,Woman,50-54,Indonesia,Doctoral degree,Machine Learning Engineer,Academics/Education,50-249 employees,Asia,data,106.84513,-6.21462
209,Woman,40-44,Indonesia,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",Asia,data,106.84513,-6.21462
210,Man,22-24,Indonesia,Bachelor’s degree,Data Engineer,Shipping/Transportation,"1000-9,999 employees",Asia,data,106.84513,-6.21462
211,Man,35-39,Indonesia,Bachelor’s degree,Software Engineer,Other,0-49 employees,Asia,developer,106.84513,-6.21462
212,Man,25-29,Indonesia,Master’s degree,Data Engineer,Academics/Education,250-999 employees,Asia,data,106.84513,-6.21462
