,genero,edad,pais,nivel de estudios,puesto de trabajo,sector,tamaño de la compañia
65,Prefer not to say,30-34,China,I prefer not to answer,Data Analyst,Computers/Technology,0-49 employees
66,Man,30-34,Other,Master’s degree,Business Analyst,Online Service/Internet-based Services,"1000-9,999 employees"
67,Man,35-39,India,Bachelor’s degree,Other,Online Business/Internet-based Sales,0-49 employees
68,Man,40-44,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,Online Service/Internet-based Services,250-999 employees
69,Man,25-29,India,Bachelor’s degree,Currently not employed,,
70,Man,22-24,Mexico,Some college/university study without earning a bachelor’s degree,Other,Online Business/Internet-based Sales,0-49 employees
71,Woman,30-34,"Iran, Islamic Republic of...",Master’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees"
72,Man,45-49,Turkey,Master’s degree,Program/Project Manager,Academics/Education,250-999 employees
73,Man,22-24,Brazil,Master’s degree,Student,,
74,Man,40-44,France,Doctoral degree,Research Scientist,Manufacturing/Fabrication,0-49 employees
75,Man,50-54,United States of America,Master’s degree,Data Engineer,Computers/Technology,"10,000 or more employees"
76,Man,22-24,China,Master’s degree,Business Analyst,Accounting/Finance,"1000-9,999 employees"
77,Man,25-29,Switzerland,Doctoral degree,Student,,
78,Man,22-24,India,Bachelor’s degree,Currently not employed,,
79,Man,35-39,United States of America,Professional doctorate,Research Scientist,Medical/Pharmaceutical,"10,000 or more employees"
80,Man,30-34,Other,Master’s degree,Software Engineer,Computers/Technology,50-249 employees
81,Man,30-34,India,Master’s degree,Business Analyst,Computers/Technology,"10,000 or more employees"
82,Man,18-21,India,Master’s degree,Student,,
83,Man,25-29,Algeria,Professional doctorate,Student,,
84,Man,22-24,Bangladesh,Bachelor’s degree,Student,,
85,Man,25-29,Tunisia,Master’s degree,Data Scientist,Retail/Sales,"10,000 or more employees"
86,Man,25-29,United States of America,Master’s degree,Data Scientist,Online Service/Internet-based Services,"1000-9,999 employees"
87,Woman,25-29,Italy,Bachelor’s degree,Student,,
88,Man,55-59,United States of America,Bachelor’s degree,Software Engineer,Other,50-249 employees
89,Woman,25-29,Argentina,Master’s degree,Data Scientist,Accounting/Finance,"1000-9,999 employees"
90,Man,30-34,United States of America,Master’s degree,Business Analyst,Accounting/Finance,"10,000 or more employees"
91,Man,22-24,Sweden,Master’s degree,Student,,
92,Man,55-59,United States of America,Bachelor’s degree,Other,Medical/Pharmaceutical,"1000-9,999 employees"
93,Man,18-21,India,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees
94,Man,30-34,Colombia,Bachelor’s degree,Student,,
95,Man,25-29,India,Master’s degree,Machine Learning Engineer,Academics/Education,"1000-9,999 employees"
96,Man,40-44,Italy,Master’s degree,Software Engineer,Non-profit/Service,0-49 employees
97,Man,22-24,India,Bachelor’s degree,Currently not employed,,
98,Man,22-24,India,Master’s degree,Student,,
99,Woman,18-21,Singapore,Some college/university study without earning a bachelor’s degree,Student,,
100,Man,25-29,India,Master’s degree,Software Engineer,Computers/Technology,"10,000 or more employees"
101,Man,22-24,India,Bachelor’s degree,Data Analyst,Computers/Technology,250-999 employees
102,Man,25-29,I do not wish to disclose my location,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees
103,Woman,40-44,United States of America,Master’s degree,Other,Academics/Education,50-249 employees
104,Man,35-39,France,Doctoral degree,Software Engineer,Online Service/Internet-based Services,0-49 employees
105,Man,30-34,India,Master’s degree,Data Analyst,Computers/Technology,"10,000 or more employees"
106,Man,55-59,United States of America,Master’s degree,Data Scientist,Medical/Pharmaceutical,"1000-9,999 employees"
107,Man,40-44,Israel,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,250-999 employees
108,Man,22-24,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,"1000-9,999 employees"
109,Man,18-21,Nigeria,Bachelor’s degree,Student,,
110,Woman,22-24,Sweden,Master’s degree,Student,,
111,Man,45-49,Poland,Master’s degree,Other,Insurance/Risk Assessment,"10,000 or more employees"
112,Woman,30-34,Canada,I prefer not to answer,Currently not employed,,
113,Man,18-21,Other,Bachelor’s degree,Other,Academics/Education,0-49 employees
114,Man,60-69,India,Doctoral degree,Program/Project Manager,Computers/Technology,0-49 employees
115,Man,25-29,Bangladesh,Bachelor’s degree,Other,Energy/Mining,250-999 employees
116,Man,40-44,Indonesia,Master’s degree,Currently not employed,,
117,Woman,18-21,India,Bachelor’s degree,Student,,
118,Man,35-39,Colombia,Master’s degree,Data Engineer,Broadcasting/Communications,"10,000 or more employees"
119,Man,18-21,Other,Some college/university study without earning a bachelor’s degree,Data Engineer,Government/Public Service,250-999 employees
120,Man,70+,United States of America,Master’s degree,Other,Energy/Mining,0-49 employees
121,Man,40-44,India,Master’s degree,Program/Project Manager,Computers/Technology,"10,000 or more employees"
122,Man,30-34,Poland,Master’s degree,Data Scientist,Medical/Pharmaceutical,50-249 employees
123,Man,60-69,India,Master’s degree,Other,Other,"10,000 or more employees"
124,Man,25-29,Egypt,Bachelor’s degree,Student,,
125,Man,40-44,France,Doctoral degree,Research Scientist,Academics/Education,50-249 employees
126,Woman,40-44,Other,Doctoral degree,Data Scientist,Academics/Education,0-49 employees
127,Man,22-24,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,Academics/Education,0-49 employees
128,Man,30-34,Sweden,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees"
129,Man,45-49,Chile,Master’s degree,Data Scientist,Energy/Mining,"1000-9,999 employees"
130,Man,18-21,Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Online Business/Internet-based Sales,50-249 employees
131,Man,25-29,Netherlands,Master’s degree,Currently not employed,,
132,Man,35-39,Ukraine,Doctoral degree,Currently not employed,,
133,Man,25-29,Other,Master’s degree,Software Engineer,Computers/Technology,0-49 employees
134,Woman,30-34,Indonesia,Master’s degree,Data Engineer,Marketing/CRM,"1000-9,999 employees"
135,Woman,18-21,Turkey,Master’s degree,Student,,
136,Man,18-21,India,Bachelor’s degree,Student,,
137,Woman,25-29,India,Bachelor’s degree,Data Engineer,Marketing/CRM,50-249 employees
138,Man,40-44,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,50-249 employees
139,Man,18-21,Russia,Some college/university study without earning a bachelor’s degree,Student,,
140,Man,25-29,India,Master’s degree,Data Scientist,Computers/Technology,0-49 employees
141,Man,30-34,Colombia,I prefer not to answer,Data Analyst,Accounting/Finance,50-249 employees
142,Man,25-29,Pakistan,Some college/university study without earning a bachelor’s degree,Student,,
143,Man,35-39,South Africa,Master’s degree,Data Engineer,,
144,Man,18-21,India,Bachelor’s degree,Student,,
145,Man,40-44,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,Non-profit/Service,"10,000 or more employees"
146,Man,22-24,United States of America,Master’s degree,Student,,
147,Woman,30-34,Russia,Bachelor’s degree,Student,,
148,Man,25-29,Other,Bachelor’s degree,Student,,
149,Woman,70+,United States of America,Master’s degree,Data Analyst,Government/Public Service,"1000-9,999 employees"
150,Woman,22-24,India,I prefer not to answer,Student,,
151,Man,18-21,Romania,Bachelor’s degree,Student,,
152,Man,22-24,India,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees
153,Woman,18-21,Egypt,Bachelor’s degree,Student,,
154,Man,30-34,South Africa,Bachelor’s degree,Product Manager,Energy/Mining,250-999 employees
155,Woman,22-24,India,Bachelor’s degree,Student,,
156,Man,22-24,India,Bachelor’s degree,Data Engineer,Computers/Technology,50-249 employees
157,Man,30-34,Singapore,Master’s degree,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees"
158,Woman,22-24,India,Master’s degree,Student,,
159,Man,50-54,Other,Master’s degree,Data Scientist,,
160,Man,60-69,Argentina,Doctoral degree,Data Scientist,Accounting/Finance,0-49 employees
161,Man,30-34,Spain,Some college/university study without earning a bachelor’s degree,Software Engineer,Computers/Technology,50-249 employees
162,Woman,22-24,Morocco,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees
163,Man,50-54,Other,Bachelor’s degree,Software Engineer,Online Service/Internet-based Services,0-49 employees
164,Man,25-29,Nigeria,Some college/university study without earning a bachelor’s degree,Program/Project Manager,Computers/Technology,0-49 employees
165,Man,22-24,United States of America,Bachelor’s degree,Currently not employed,,
166,Man,45-49,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,250-999 employees
167,Man,22-24,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,,
168,Man,35-39,Singapore,Master’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees"
169,Man,60-69,United States of America,Master’s degree,Product Manager,Computers/Technology,0-49 employees
170,Man,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees"
171,Man,30-34,India,Bachelor’s degree,Software Engineer,Computers/Technology,250-999 employees
172,Man,40-44,Turkey,I prefer not to answer,Other,Academics/Education,0-49 employees
173,Man,18-21,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees"
174,Woman,40-44,Bangladesh,Master’s degree,Currently not employed,,
175,Man,30-34,Turkey,Doctoral degree,Statistician,Academics/Education,250-999 employees
176,Man,35-39,Japan,Bachelor’s degree,Other,,
177,Woman,22-24,Taiwan,Master’s degree,Currently not employed,,
178,Man,25-29,India,Master’s degree,Currently not employed,,
179,Man,22-24,Kenya,Bachelor’s degree,Program/Project Manager,Computers/Technology,0-49 employees
180,Man,18-21,India,Bachelor’s degree,Student,,
181,Woman,22-24,Tunisia,Master’s degree,Student,,
182,Man,35-39,Brazil,Doctoral degree,Research Scientist,Energy/Mining,"1000-9,999 employees"
183,Man,30-34,United States of America,Master’s degree,Data Scientist,Online Business/Internet-based Sales,0-49 employees
184,Man,18-21,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,"1000-9,999 employees"
185,Man,35-39,Egypt,Bachelor’s degree,Other,Other,250-999 employees
186,Man,60-69,Canada,Master’s degree,Program/Project Manager,Other,0-49 employees
187,Man,30-34,India,Bachelor’s degree,Other,Computers/Technology,"10,000 or more employees"
188,Man,30-34,United States of America,Master’s degree,Business Analyst,Accounting/Finance,"1000-9,999 employees"
189,Man,40-44,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,"10,000 or more employees"
190,Man,55-59,United States of America,Master’s degree,Data Scientist,Broadcasting/Communications,"10,000 or more employees"
191,Man,18-21,India,Bachelor’s degree,Student,,
192,Woman,30-34,Sweden,Doctoral degree,Data Scientist,Marketing/CRM,50-249 employees
193,Man,40-44,Australia,Master’s degree,Software Engineer,,
194,Man,35-39,Nigeria,Bachelor’s degree,Research Scientist,,
195,Woman,22-24,Turkey,Bachelor’s degree,Data Scientist,Retail/Sales,50-249 employees
196,Man,40-44,Russia,Bachelor’s degree,Business Analyst,Shipping/Transportation,0-49 employees
197,Man,25-29,Other,Bachelor’s degree,Data Engineer,Computers/Technology,50-249 employees
198,Man,25-29,Egypt,Doctoral degree,Research Scientist,Academics/Education,50-249 employees
199,Man,30-34,Russia,Bachelor’s degree,Software Engineer,Broadcasting/Communications,0-49 employees
200,Man,30-34,India,Master’s degree,Data Scientist,Online Business/Internet-based Sales,"1000-9,999 employees"
201,Man,22-24,India,Bachelor’s degree,Student,,
202,Man,30-34,United States of America,Some college/university study without earning a bachelor’s degree,Other,Shipping/Transportation,"10,000 or more employees"
203,Man,22-24,India,Master’s degree,Software Engineer,Online Service/Internet-based Services,"10,000 or more employees"
204,Man,30-34,United States of America,Master’s degree,Data Scientist,,
205,Man,18-21,Belarus,No formal education past high school,Student,,
206,Man,22-24,France,Master’s degree,Data Scientist,Manufacturing/Fabrication,"1000-9,999 employees"
207,Man,18-21,India,Bachelor’s degree,Student,,
208,Man,45-49,South Africa,Bachelor’s degree,Currently not employed,,
209,Man,35-39,Egypt,Master’s degree,Student,,
210,Nonbinary,30-34,Mexico,Doctoral degree,Student,,
211,Man,55-59,Brazil,Some college/university study without earning a bachelor’s degree,Other,Computers/Technology,50-249 employees
212,Woman,18-21,India,Bachelor’s degree,Student,,
213,Man,18-21,India,Bachelor’s degree,Student,,
214,Woman,35-39,Ireland,Doctoral degree,Statistician,Academics/Education,"1000-9,999 employees"
215,Man,30-34,Colombia,Master’s degree,Machine Learning Engineer,Shipping/Transportation,"1000-9,999 employees"
216,Prefer not to say,18-21,India,Bachelor’s degree,Student,,
217,Man,30-34,India,Doctoral degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees"
218,Woman,18-21,India,Master’s degree,Student,,
219,Man,30-34,India,Bachelor’s degree,Data Analyst,Computers/Technology,"10,000 or more employees"
220,Man,60-69,United States of America,Master’s degree,Student,,
221,Man,35-39,Argentina,Master’s degree,Program/Project Manager,Retail/Sales,250-999 employees
222,Man,70+,Australia,Master’s degree,Other,Computers/Technology,"10,000 or more employees"
223,Man,18-21,Australia,Bachelor’s degree,Data Scientist,Other,0-49 employees
224,Man,45-49,Portugal,No formal education past high school,Other,Other,"1000-9,999 employees"
225,Man,18-21,Other,Master’s degree,Software Engineer,Computers/Technology,0-49 employees
226,Woman,25-29,Hong Kong (S.A.R.),Doctoral degree,Data Scientist,Accounting/Finance,"10,000 or more employees"
227,Man,25-29,Japan,No formal education past high school,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees"
228,Man,25-29,India,Bachelor’s degree,Data Scientist,Manufacturing/Fabrication,"10,000 or more employees"
229,Man,22-24,India,Bachelor’s degree,Data Scientist,Computers/Technology,"10,000 or more employees"
230,Man,22-24,China,Master’s degree,Data Scientist,Manufacturing/Fabrication,0-49 employees
231,Woman,55-59,Israel,Master’s degree,Currently not employed,,
232,Man,25-29,Nigeria,Master’s degree,Research Scientist,Academics/Education,0-49 employees
233,Man,50-54,Austria,No formal education past high school,Software Engineer,Shipping/Transportation,"1000-9,999 employees"
234,Man,22-24,India,Bachelor’s degree,Student,,
235,Woman,18-21,India,Bachelor’s degree,Student,,
236,Man,45-49,Sweden,Master’s degree,Software Engineer,Accounting/Finance,0-49 employees
237,Man,25-29,United States of America,Bachelor’s degree,Student,,
238,Man,50-54,Japan,Master’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees"
239,Man,30-34,United States of America,Master’s degree,Student,,
240,Woman,30-34,India,Master’s degree,Currently not employed,,
241,Man,40-44,India,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees"
242,Man,18-21,Mexico,Bachelor’s degree,Student,,
243,Man,35-39,France,Master’s degree,Data Scientist,Energy/Mining,250-999 employees
244,Woman,18-21,India,Bachelor’s degree,Student,,
245,Man,25-29,Spain,Master’s degree,Machine Learning Engineer,Other,"10,000 or more employees"
246,Man,22-24,Ukraine,Doctoral degree,Data Analyst,Other,0-49 employees
247,Man,25-29,India,Bachelor’s degree,Research Scientist,Online Business/Internet-based Sales,0-49 employees
248,Woman,35-39,India,Master’s degree,Currently not employed,,
249,Woman,30-34,Brazil,Some college/university study without earning a bachelor’s degree,Currently not employed,,
250,Man,22-24,United States of America,Master’s degree,Other,Computers/Technology,250-999 employees
251,Woman,35-39,India,Doctoral degree,Research Scientist,Academics/Education,0-49 employees
252,Woman,55-59,Brazil,Master’s degree,Business Analyst,Computers/Technology,"10,000 or more employees"
253,Man,40-44,United States of America,Master’s degree,Software Engineer,Online Service/Internet-based Services,250-999 employees
254,Man,30-34,India,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees"
255,Man,22-24,India,Master’s degree,Student,,
256,Woman,25-29,Pakistan,Master’s degree,Data Analyst,Computers/Technology,"1000-9,999 employees"
257,Man,60-69,United States of America,Master’s degree,Software Engineer,Computers/Technology,50-249 employees
258,Man,50-54,United States of America,Master’s degree,Currently not employed,,
259,Man,35-39,Indonesia,No formal education past high school,Data Scientist,Academics/Education,"10,000 or more employees"
260,Man,30-34,China,Master’s degree,Machine Learning Engineer,Computers/Technology,250-999 employees
261,Man,30-34,Denmark,Doctoral degree,Data Scientist,Retail/Sales,50-249 employees
262,Woman,25-29,India,Bachelor’s degree,Data Analyst,Energy/Mining,"10,000 or more employees"
263,Man,35-39,Australia,Master’s degree,Currently not employed,,
264,Woman,35-39,Other,Master’s degree,Data Analyst,Computers/Technology,0-49 employees
265,Prefer not to say,45-49,Brazil,Bachelor’s degree,Research Scientist,Academics/Education,0-49 employees
266,Man,18-21,India,Master’s degree,Student,,
267,Man,22-24,Other,Bachelor’s degree,Currently not employed,,
268,Woman,25-29,Pakistan,Doctoral degree,Data Analyst,Academics/Education,50-249 employees
269,Woman,25-29,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,250-999 employees
270,Man,25-29,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,,
271,Man,25-29,Nigeria,Some college/university study without earning a bachelor’s degree,Currently not employed,,
272,Man,45-49,Germany,Master’s degree,Program/Project Manager,Government/Public Service,"1000-9,999 employees"
273,Man,25-29,Kenya,Bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees
274,Man,22-24,South Korea,Bachelor’s degree,Other,Military/Security/Defense,"10,000 or more employees"
275,Man,22-24,India,Master’s degree,Currently not employed,,
276,Man,22-24,Bangladesh,Bachelor’s degree,Student,,
277,Woman,25-29,Philippines,Bachelor’s degree,Currently not employed,,
278,Man,22-24,India,Master’s degree,Student,,
279,Man,35-39,Turkey,Master’s degree,Software Engineer,Computers/Technology,"10,000 or more employees"
280,Woman,18-21,India,Master’s degree,Student,,
281,Man,40-44,Canada,Master’s degree,Data Analyst,Academics/Education,0-49 employees
282,Man,50-54,United States of America,Bachelor’s degree,Software Engineer,Retail/Sales,"1000-9,999 employees"
283,Man,30-34,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,"1000-9,999 employees"
284,Woman,45-49,Singapore,Master’s degree,Research Scientist,Military/Security/Defense,"1000-9,999 employees"
285,Man,22-24,United States of America,Master’s degree,Student,,
286,Woman,35-39,United States of America,Master’s degree,Data Scientist,Computers/Technology,0-49 employees
287,Man,25-29,India,Master’s degree,Student,,
288,Man,35-39,Russia,Bachelor’s degree,Other,Manufacturing/Fabrication,"10,000 or more employees"
289,Woman,22-24,India,Master’s degree,Research Scientist,Academics/Education,0-49 employees
290,Woman,18-21,Indonesia,Bachelor’s degree,Student,,
291,Man,22-24,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,"1000-9,999 employees"
292,Man,18-21,India,Bachelor’s degree,Student,,
293,Man,22-24,China,Doctoral degree,Program/Project Manager,,
294,Man,45-49,Other,Master’s degree,Business Analyst,Government/Public Service,"1000-9,999 employees"
295,Woman,30-34,United States of America,Master’s degree,Data Engineer,Computers/Technology,250-999 employees
296,Man,50-54,Russia,No formal education past high school,Currently not employed,,
297,Man,40-44,Mexico,Master’s degree,Business Analyst,Other,0-49 employees
298,Man,50-54,United Kingdom of Great Britain and Northern Ireland,No formal education past high school,Developer Relations/Advocacy,,
299,Woman,30-34,India,Master’s degree,Research Scientist,Computers/Technology,"1000-9,999 employees"
300,Prefer not to say,25-29,Germany,Doctoral degree,Research Scientist,Academics/Education,250-999 employees
301,Woman,22-24,Nigeria,Master’s degree,Student,,
302,Man,25-29,India,Bachelor’s degree,Software Engineer,Academics/Education,50-249 employees
303,Woman,25-29,Nigeria,Bachelor’s degree,Student,,
304,Man,45-49,India,Master’s degree,Statistician,Other,50-249 employees
305,Man,30-34,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees"
306,Nonbinary,30-34,Kenya,Bachelor’s degree,Machine Learning Engineer,Marketing/CRM,0-49 employees
307,Woman,25-29,Sri Lanka,Master’s degree,Student,,
308,Woman,35-39,Tunisia,Doctoral degree,Data Analyst,Academics/Education,0-49 employees
309,Man,60-69,Chile,Master’s degree,Other,Academics/Education,250-999 employees
310,Man,22-24,China,Bachelor’s degree,Data Analyst,Computers/Technology,50-249 employees
311,Woman,18-21,Bangladesh,Bachelor’s degree,Machine Learning Engineer,Non-profit/Service,0-49 employees
312,Man,60-69,United States of America,Bachelor’s degree,Software Engineer,Other,0-49 employees
313,Man,25-29,India,Master’s degree,Data Scientist,Computers/Technology,"10,000 or more employees"
314,Man,40-44,Other,Doctoral degree,Student,,
315,Woman,35-39,India,Master’s degree,Currently not employed,,
316,Woman,22-24,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,Computers/Technology,
317,Man,18-21,Indonesia,Some college/university study without earning a bachelor’s degree,Student,,
318,Woman,25-29,India,Master’s degree,Currently not employed,,
319,Man,18-21,India,Bachelor’s degree,Student,,
320,Man,25-29,India,Master’s degree,Data Engineer,Online Business/Internet-based Sales,"1000-9,999 employees"
321,Man,40-44,Japan,Master’s degree,Other,Broadcasting/Communications,"10,000 or more employees"
322,Man,35-39,India,Bachelor’s degree,Currently not employed,,
323,Man,40-44,Japan,Bachelor’s degree,Data Scientist,Retail/Sales,0-49 employees
324,Man,25-29,France,Master’s degree,Data Scientist,Insurance/Risk Assessment,"1000-9,999 employees"
325,Woman,30-34,United Arab Emirates,Master’s degree,Currently not employed,,
326,Man,35-39,Nigeria,Master’s degree,Software Engineer,Government/Public Service,"1000-9,999 employees"
327,Man,22-24,India,Bachelor’s degree,Other,,
328,Man,35-39,Sweden,Doctoral degree,Research Scientist,Academics/Education,0-49 employees
329,Man,18-21,India,Some college/university study without earning a bachelor’s degree,Currently not employed,,
330,Woman,25-29,United States of America,Master’s degree,Student,,
331,Man,40-44,France,Doctoral degree,Data Scientist,Computers/Technology,0-49 employees
332,Man,22-24,Uganda,Bachelor’s degree,Currently not employed,,
333,Man,25-29,India,Bachelor’s degree,Data Scientist,Insurance/Risk Assessment,0-49 employees
334,Man,35-39,South Africa,Master’s degree,Data Scientist,Computers/Technology,"10,000 or more employees"
335,Man,45-49,Russia,Master’s degree,Product Manager,Computers/Technology,0-49 employees
336,Man,35-39,Spain,Doctoral degree,Research Scientist,,
337,Man,25-29,Sri Lanka,Master’s degree,Data Scientist,Accounting/Finance,0-49 employees
338,Man,40-44,Saudi Arabia,Master’s degree,Other,Academics/Education,250-999 employees
339,Woman,25-29,Italy,Master’s degree,Data Analyst,Academics/Education,250-999 employees
340,Man,18-21,Nigeria,Bachelor’s degree,Data Scientist,Other,0-49 employees
341,Man,70+,United States of America,Master’s degree,Currently not employed,,
342,Man,50-54,Portugal,Doctoral degree,Research Scientist,Computers/Technology,50-249 employees
