,genero,edad,pais,nivel de estudios,puesto de trabajo,sector,tamaño de la compañia,continente,rama
51,Man,40-44,South Africa,Master’s degree,Data Analyst,Manufacturing/Fabrication,250-999 employees,África,data
54,Woman,22-24,Bangladesh,Bachelor’s degree,Software Engineer,Computers/Technology,250-999 employees,Asia,developer
56,Woman,35-39,Russia,I prefer not to answer,Data Scientist,Academics/Education,"1000-9,999 employees",Europa,data
57,Man,18-21,India,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,50-249 employees,Asia,data
58,Man,35-39,India,Bachelor’s degree,Program/Project Manager,Government/Public Service,"10,000 or more employees",Asia,other
60,Man,18-21,Russia,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Europa,data
61,Man,30-34,Japan,Master’s degree,Data Scientist,Online Service/Internet-based Services,250-999 employees,Asia,data
64,Man,40-44,Russia,Doctoral degree,Data Engineer,Accounting/Finance,0-49 employees,Europa,data
71,Woman,30-34,"Iran, Islamic Republic of...",Master’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees",África,developer
72,Man,45-49,Turkey,Master’s degree,Program/Project Manager,Academics/Education,250-999 employees,Asia,other
74,Man,40-44,France,Doctoral degree,Research Scientist,Manufacturing/Fabrication,0-49 employees,Europa,data
75,Man,50-54,United States of America,Master’s degree,Data Engineer,Computers/Technology,"10,000 or more employees",América del Norte,data
76,Man,22-24,China,Master’s degree,Business Analyst,Accounting/Finance,"1000-9,999 employees",Asia,data
79,Man,35-39,United States of America,Professional doctorate,Research Scientist,Medical/Pharmaceutical,"10,000 or more employees",América del Norte,data
81,Man,30-34,India,Master’s degree,Business Analyst,Computers/Technology,"10,000 or more employees",Asia,data
85,Man,25-29,Tunisia,Master’s degree,Data Scientist,Retail/Sales,"10,000 or more employees",África,data
86,Man,25-29,United States of America,Master’s degree,Data Scientist,Online Service/Internet-based Services,"1000-9,999 employees",América del Norte,data
88,Man,55-59,United States of America,Bachelor’s degree,Software Engineer,Other,50-249 employees,América del Norte,developer
89,Woman,25-29,Argentina,Master’s degree,Data Scientist,Accounting/Finance,"1000-9,999 employees",América del Sur,data
90,Man,30-34,United States of America,Master’s degree,Business Analyst,Accounting/Finance,"10,000 or more employees",América del Norte,data
93,Man,18-21,India,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
95,Man,25-29,India,Master’s degree,Machine Learning Engineer,Academics/Education,"1000-9,999 employees",Asia,data
96,Man,40-44,Italy,Master’s degree,Software Engineer,Non-profit/Service,0-49 employees,Europa,developer
100,Man,25-29,India,Master’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
101,Man,22-24,India,Bachelor’s degree,Data Analyst,Computers/Technology,250-999 employees,Asia,data
104,Man,35-39,France,Doctoral degree,Software Engineer,Online Service/Internet-based Services,0-49 employees,Europa,developer
105,Man,30-34,India,Master’s degree,Data Analyst,Computers/Technology,"10,000 or more employees",Asia,data
106,Man,55-59,United States of America,Master’s degree,Data Scientist,Medical/Pharmaceutical,"1000-9,999 employees",América del Norte,data
107,Man,40-44,Israel,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,250-999 employees,Asia,data
108,Man,22-24,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,"1000-9,999 employees",Asia,data
114,Man,60-69,India,Doctoral degree,Program/Project Manager,Computers/Technology,0-49 employees,Asia,other
118,Man,35-39,Colombia,Master’s degree,Data Engineer,Broadcasting/Communications,"10,000 or more employees",América del Sur,data
121,Man,40-44,India,Master’s degree,Program/Project Manager,Computers/Technology,"10,000 or more employees",Asia,other
122,Man,30-34,Poland,Master’s degree,Data Scientist,Medical/Pharmaceutical,50-249 employees,Europa,data
125,Man,40-44,France,Doctoral degree,Research Scientist,Academics/Education,50-249 employees,Europa,data
128,Man,30-34,Sweden,Doctoral degree,Research Scientist,Academics/Education,"1000-9,999 employees",Europa,data
129,Man,45-49,Chile,Master’s degree,Data Scientist,Energy/Mining,"1000-9,999 employees",América del Sur,data
130,Man,18-21,Egypt,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Online Business/Internet-based Sales,50-249 employees,África,data
134,Woman,30-34,Indonesia,Master’s degree,Data Engineer,Marketing/CRM,"1000-9,999 employees",Asia,data
137,Woman,25-29,India,Bachelor’s degree,Data Engineer,Marketing/CRM,50-249 employees,Asia,data
138,Man,40-44,Saudi Arabia,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,50-249 employees,Asia,data
140,Man,25-29,India,Master’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data
141,Man,30-34,Colombia,I prefer not to answer,Data Analyst,Accounting/Finance,50-249 employees,América del Sur,data
143,Man,35-39,South Africa,Master’s degree,Data Engineer,,,África,data
145,Man,40-44,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,Non-profit/Service,"10,000 or more employees",Europa,data
149,Woman,70+,United States of America,Master’s degree,Data Analyst,Government/Public Service,"1000-9,999 employees",América del Norte,data
152,Man,22-24,India,Bachelor’s degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
154,Man,30-34,South Africa,Bachelor’s degree,Product Manager,Energy/Mining,250-999 employees,África,other
156,Man,22-24,India,Bachelor’s degree,Data Engineer,Computers/Technology,50-249 employees,Asia,data
157,Man,30-34,Singapore,Master’s degree,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",Asia,data
160,Man,60-69,Argentina,Doctoral degree,Data Scientist,Accounting/Finance,0-49 employees,América del Sur,data
161,Man,30-34,Spain,Some college/university study without earning a bachelor’s degree,Software Engineer,Computers/Technology,50-249 employees,Europa,developer
162,Woman,22-24,Morocco,Master’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,África,data
164,Man,25-29,Nigeria,Some college/university study without earning a bachelor’s degree,Program/Project Manager,Computers/Technology,0-49 employees,África,other
166,Man,45-49,Austria,Master’s degree,Business Analyst,Insurance/Risk Assessment,250-999 employees,Europa,data
168,Man,35-39,Singapore,Master’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees",Asia,data
169,Man,60-69,United States of America,Master’s degree,Product Manager,Computers/Technology,0-49 employees,América del Norte,other
170,Man,22-24,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
171,Man,30-34,India,Bachelor’s degree,Software Engineer,Computers/Technology,250-999 employees,Asia,developer
173,Man,18-21,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
175,Man,30-34,Turkey,Doctoral degree,Statistician,Academics/Education,250-999 employees,Asia,other
179,Man,22-24,Kenya,Bachelor’s degree,Program/Project Manager,Computers/Technology,0-49 employees,África,other
182,Man,35-39,Brazil,Doctoral degree,Research Scientist,Energy/Mining,"1000-9,999 employees",América del Sur,data
183,Man,30-34,United States of America,Master’s degree,Data Scientist,Online Business/Internet-based Sales,0-49 employees,América del Norte,data
184,Man,18-21,Brazil,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,"1000-9,999 employees",América del Sur,data
186,Man,60-69,Canada,Master’s degree,Program/Project Manager,Other,0-49 employees,América del Norte,other
188,Man,30-34,United States of America,Master’s degree,Business Analyst,Accounting/Finance,"1000-9,999 employees",América del Norte,data
189,Man,40-44,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,"10,000 or more employees",Asia,data
190,Man,55-59,United States of America,Master’s degree,Data Scientist,Broadcasting/Communications,"10,000 or more employees",América del Norte,data
192,Woman,30-34,Sweden,Doctoral degree,Data Scientist,Marketing/CRM,50-249 employees,Europa,data
193,Man,40-44,Australia,Master’s degree,Software Engineer,,,Oceanía,developer
194,Man,35-39,Nigeria,Bachelor’s degree,Research Scientist,,,África,data
195,Woman,22-24,Turkey,Bachelor’s degree,Data Scientist,Retail/Sales,50-249 employees,Asia,data
196,Man,40-44,Russia,Bachelor’s degree,Business Analyst,Shipping/Transportation,0-49 employees,Europa,data
198,Man,25-29,Egypt,Doctoral degree,Research Scientist,Academics/Education,50-249 employees,África,data
199,Man,30-34,Russia,Bachelor’s degree,Software Engineer,Broadcasting/Communications,0-49 employees,Europa,developer
200,Man,30-34,India,Master’s degree,Data Scientist,Online Business/Internet-based Sales,"1000-9,999 employees",Asia,data
203,Man,22-24,India,Master’s degree,Software Engineer,Online Service/Internet-based Services,"10,000 or more employees",Asia,developer
204,Man,30-34,United States of America,Master’s degree,Data Scientist,,,América del Norte,data
206,Man,22-24,France,Master’s degree,Data Scientist,Manufacturing/Fabrication,"1000-9,999 employees",Europa,data
214,Woman,35-39,Ireland,Doctoral degree,Statistician,Academics/Education,"1000-9,999 employees",Europa,other
215,Man,30-34,Colombia,Master’s degree,Machine Learning Engineer,Shipping/Transportation,"1000-9,999 employees",América del Sur,data
217,Man,30-34,India,Doctoral degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",Asia,data
219,Man,30-34,India,Bachelor’s degree,Data Analyst,Computers/Technology,"10,000 or more employees",Asia,data
221,Man,35-39,Argentina,Master’s degree,Program/Project Manager,Retail/Sales,250-999 employees,América del Sur,other
223,Man,18-21,Australia,Bachelor’s degree,Data Scientist,Other,0-49 employees,Oceanía,data
226,Woman,25-29,Hong Kong (S.A.R.),Doctoral degree,Data Scientist,Accounting/Finance,"10,000 or more employees",Asia,data
227,Man,25-29,Japan,No formal education past high school,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",Asia,data
228,Man,25-29,India,Bachelor’s degree,Data Scientist,Manufacturing/Fabrication,"10,000 or more employees",Asia,data
229,Man,22-24,India,Bachelor’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
230,Man,22-24,China,Master’s degree,Data Scientist,Manufacturing/Fabrication,0-49 employees,Asia,data
232,Man,25-29,Nigeria,Master’s degree,Research Scientist,Academics/Education,0-49 employees,África,data
233,Man,50-54,Austria,No formal education past high school,Software Engineer,Shipping/Transportation,"1000-9,999 employees",Europa,developer
236,Man,45-49,Sweden,Master’s degree,Software Engineer,Accounting/Finance,0-49 employees,Europa,developer
238,Man,50-54,Japan,Master’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees",Asia,developer
241,Man,40-44,India,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",Asia,data
243,Man,35-39,France,Master’s degree,Data Scientist,Energy/Mining,250-999 employees,Europa,data
245,Man,25-29,Spain,Master’s degree,Machine Learning Engineer,Other,"10,000 or more employees",Europa,data
246,Man,22-24,Ukraine,Doctoral degree,Data Analyst,Other,0-49 employees,Europa,data
247,Man,25-29,India,Bachelor’s degree,Research Scientist,Online Business/Internet-based Sales,0-49 employees,Asia,data
251,Woman,35-39,India,Doctoral degree,Research Scientist,Academics/Education,0-49 employees,Asia,data
252,Woman,55-59,Brazil,Master’s degree,Business Analyst,Computers/Technology,"10,000 or more employees",América del Sur,data
253,Man,40-44,United States of America,Master’s degree,Software Engineer,Online Service/Internet-based Services,250-999 employees,América del Norte,developer
254,Man,30-34,India,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",Asia,data
256,Woman,25-29,Pakistan,Master’s degree,Data Analyst,Computers/Technology,"1000-9,999 employees",Asia,data
257,Man,60-69,United States of America,Master’s degree,Software Engineer,Computers/Technology,50-249 employees,América del Norte,developer
259,Man,35-39,Indonesia,No formal education past high school,Data Scientist,Academics/Education,"10,000 or more employees",Asia,data
260,Man,30-34,China,Master’s degree,Machine Learning Engineer,Computers/Technology,250-999 employees,Asia,data
261,Man,30-34,Denmark,Doctoral degree,Data Scientist,Retail/Sales,50-249 employees,Europa,data
262,Woman,25-29,India,Bachelor’s degree,Data Analyst,Energy/Mining,"10,000 or more employees",Asia,data
268,Woman,25-29,Pakistan,Doctoral degree,Data Analyst,Academics/Education,50-249 employees,Asia,data
269,Woman,25-29,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,250-999 employees,Asia,data
272,Man,45-49,Germany,Master’s degree,Program/Project Manager,Government/Public Service,"1000-9,999 employees",Europa,other
273,Man,25-29,Kenya,Bachelor’s degree,Software Engineer,Computers/Technology,0-49 employees,África,developer
279,Man,35-39,Turkey,Master’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
281,Man,40-44,Canada,Master’s degree,Data Analyst,Academics/Education,0-49 employees,América del Norte,data
282,Man,50-54,United States of America,Bachelor’s degree,Software Engineer,Retail/Sales,"1000-9,999 employees",América del Norte,developer
283,Man,30-34,Nigeria,Master’s degree,Data Analyst,Manufacturing/Fabrication,"1000-9,999 employees",África,data
284,Woman,45-49,Singapore,Master’s degree,Research Scientist,Military/Security/Defense,"1000-9,999 employees",Asia,data
286,Woman,35-39,United States of America,Master’s degree,Data Scientist,Computers/Technology,0-49 employees,América del Norte,data
289,Woman,22-24,India,Master’s degree,Research Scientist,Academics/Education,0-49 employees,Asia,data
291,Man,22-24,India,Bachelor’s degree,Business Analyst,Hospitality/Entertainment/Sports,"1000-9,999 employees",Asia,data
293,Man,22-24,China,Doctoral degree,Program/Project Manager,,,Asia,other
295,Woman,30-34,United States of America,Master’s degree,Data Engineer,Computers/Technology,250-999 employees,América del Norte,data
297,Man,40-44,Mexico,Master’s degree,Business Analyst,Other,0-49 employees,América del Sur,data
298,Man,50-54,United Kingdom of Great Britain and Northern Ireland,No formal education past high school,Developer Relations/Advocacy,,,Europa,other
299,Woman,30-34,India,Master’s degree,Research Scientist,Computers/Technology,"1000-9,999 employees",Asia,data
302,Man,25-29,India,Bachelor’s degree,Software Engineer,Academics/Education,50-249 employees,Asia,developer
304,Man,45-49,India,Master’s degree,Statistician,Other,50-249 employees,Asia,other
305,Man,30-34,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",Europa,data
308,Woman,35-39,Tunisia,Doctoral degree,Data Analyst,Academics/Education,0-49 employees,África,data
310,Man,22-24,China,Bachelor’s degree,Data Analyst,Computers/Technology,50-249 employees,Asia,data
311,Woman,18-21,Bangladesh,Bachelor’s degree,Machine Learning Engineer,Non-profit/Service,0-49 employees,Asia,data
312,Man,60-69,United States of America,Bachelor’s degree,Software Engineer,Other,0-49 employees,América del Norte,developer
313,Man,25-29,India,Master’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
316,Woman,22-24,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,Computers/Technology,,Europa,data
320,Man,25-29,India,Master’s degree,Data Engineer,Online Business/Internet-based Sales,"1000-9,999 employees",Asia,data
323,Man,40-44,Japan,Bachelor’s degree,Data Scientist,Retail/Sales,0-49 employees,Asia,data
324,Man,25-29,France,Master’s degree,Data Scientist,Insurance/Risk Assessment,"1000-9,999 employees",Europa,data
326,Man,35-39,Nigeria,Master’s degree,Software Engineer,Government/Public Service,"1000-9,999 employees",África,developer
328,Man,35-39,Sweden,Doctoral degree,Research Scientist,Academics/Education,0-49 employees,Europa,data
331,Man,40-44,France,Doctoral degree,Data Scientist,Computers/Technology,0-49 employees,Europa,data
333,Man,25-29,India,Bachelor’s degree,Data Scientist,Insurance/Risk Assessment,0-49 employees,Asia,data
334,Man,35-39,South Africa,Master’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",África,data
335,Man,45-49,Russia,Master’s degree,Product Manager,Computers/Technology,0-49 employees,Europa,other
336,Man,35-39,Spain,Doctoral degree,Research Scientist,,,Europa,data
339,Woman,25-29,Italy,Master’s degree,Data Analyst,Academics/Education,250-999 employees,Europa,data
340,Man,18-21,Nigeria,Bachelor’s degree,Data Scientist,Other,0-49 employees,África,data
342,Man,50-54,Portugal,Doctoral degree,Research Scientist,Computers/Technology,50-249 employees,Europa,data
344,Man,30-34,India,Master’s degree,Data Scientist,Academics/Education,50-249 employees,Asia,data
345,Man,55-59,Netherlands,Doctoral degree,Data Scientist,Other,50-249 employees,Europa,data
346,Man,35-39,Brazil,Bachelor’s degree,Data Scientist,Computers/Technology,"1000-9,999 employees",América del Sur,data
350,Man,25-29,India,Master’s degree,Data Scientist,Manufacturing/Fabrication,"1000-9,999 employees",Asia,data
351,Man,22-24,China,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,Computers/Technology,0-49 employees,Asia,data
352,Man,30-34,India,Bachelor’s degree,Software Engineer,Computers/Technology,"10,000 or more employees",Asia,developer
353,Man,30-34,United States of America,Master’s degree,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",América del Norte,data
354,Man,30-34,Ghana,Master’s degree,Software Engineer,Academics/Education,"1000-9,999 employees",África,developer
355,Man,40-44,India,Master’s degree,Data Engineer,Academics/Education,250-999 employees,Asia,data
356,Man,35-39,India,Doctoral degree,Software Engineer,Computers/Technology,0-49 employees,Asia,developer
358,Man,22-24,Egypt,Master’s degree,Data Scientist,Academics/Education,50-249 employees,África,data
360,Man,22-24,Poland,Master’s degree,Business Analyst,Accounting/Finance,50-249 employees,Europa,data
362,Man,35-39,United States of America,Bachelor’s degree,Business Analyst,Retail/Sales,"10,000 or more employees",América del Norte,data
369,Man,18-21,India,Bachelor’s degree,DBA/Database Engineer,Computers/Technology,50-249 employees,Asia,data
370,Man,25-29,Mexico,Master’s degree,Data Scientist,Accounting/Finance,250-999 employees,América del Sur,data
371,Man,50-54,South Korea,Master’s degree,Program/Project Manager,Computers/Technology,0-49 employees,Asia,other
372,Man,35-39,Nigeria,Bachelor’s degree,DBA/Database Engineer,Academics/Education,50-249 employees,África,data
374,Woman,25-29,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,"10,000 or more employees",Asia,data
375,Man,60-69,India,Master’s degree,Software Engineer,Online Service/Internet-based Services,0-49 employees,Asia,developer
377,Man,60-69,India,Bachelor’s degree,Program/Project Manager,Accounting/Finance,"10,000 or more employees",Asia,other
378,Man,22-24,Nigeria,Bachelor’s degree,Data Engineer,Accounting/Finance,0-49 employees,África,data
379,Man,25-29,Malaysia,Doctoral degree,Data Scientist,Academics/Education,0-49 employees,Asia,data
382,Woman,18-21,Colombia,Some college/university study without earning a bachelor’s degree,Software Engineer,Manufacturing/Fabrication,0-49 employees,América del Sur,developer
386,Woman,25-29,Spain,Master’s degree,Software Engineer,Accounting/Finance,50-249 employees,Europa,developer
388,Man,40-44,Australia,Master’s degree,Data Engineer,Medical/Pharmaceutical,250-999 employees,Oceanía,data
390,Man,50-54,Israel,Master’s degree,Product Manager,Computers/Technology,"1000-9,999 employees",Asia,other
391,Man,25-29,Brazil,Bachelor’s degree,Data Scientist,Other,50-249 employees,América del Sur,data
392,Man,35-39,United States of America,Master’s degree,Data Scientist,Accounting/Finance,0-49 employees,América del Norte,data
393,Woman,50-54,United States of America,Professional doctorate,Data Scientist,Computers/Technology,0-49 employees,América del Norte,data
394,Man,18-21,Indonesia,Master’s degree,Research Scientist,Energy/Mining,50-249 employees,Asia,data
395,Man,50-54,Spain,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,50-249 employees,Europa,data
396,Man,50-54,United States of America,Bachelor’s degree,Product Manager,Energy/Mining,"10,000 or more employees",América del Norte,other
398,Man,35-39,Greece,Doctoral degree,Data Scientist,Shipping/Transportation,50-249 employees,Europa,data
400,Man,40-44,Ukraine,Master’s degree,Software Engineer,Accounting/Finance,0-49 employees,Europa,developer
401,Woman,22-24,Brazil,Master’s degree,Data Scientist,Academics/Education,0-49 employees,América del Sur,data
402,Woman,35-39,India,Doctoral degree,Research Scientist,Academics/Education,0-49 employees,Asia,data
403,Woman,25-29,India,Master’s degree,Data Scientist,,,Asia,data
404,Man,25-29,Colombia,Bachelor’s degree,Data Analyst,Broadcasting/Communications,"10,000 or more employees",América del Sur,data
405,Man,25-29,Russia,Master’s degree,Data Scientist,Energy/Mining,250-999 employees,Europa,data
409,Woman,55-59,Turkey,Doctoral degree,Statistician,Academics/Education,50-249 employees,Asia,other
411,Man,22-24,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Engineer,Retail/Sales,50-249 employees,Europa,data
412,Man,22-24,India,Bachelor’s degree,Business Analyst,Government/Public Service,"10,000 or more employees",Asia,data
413,Man,25-29,India,Bachelor’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
415,Man,30-34,Russia,Bachelor’s degree,Software Engineer,Accounting/Finance,50-249 employees,Europa,developer
418,Man,25-29,Russia,Some college/university study without earning a bachelor’s degree,Product Manager,,,Europa,other
419,Woman,25-29,Turkey,Bachelor’s degree,Data Scientist,Insurance/Risk Assessment,0-49 employees,Asia,data
420,Man,22-24,India,Bachelor’s degree,Data Scientist,,,Asia,data
422,Man,35-39,United Arab Emirates,Bachelor’s degree,Data Engineer,,,Asia,data
426,Woman,35-39,Egypt,Doctoral degree,Research Scientist,Other,"1000-9,999 employees",África,data
428,Man,40-44,Turkey,Master’s degree,Program/Project Manager,Computers/Technology,"10,000 or more employees",Asia,other
429,Woman,30-34,United States of America,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,0-49 employees,América del Norte,data
430,Woman,30-34,Italy,Bachelor’s degree,Business Analyst,Accounting/Finance,0-49 employees,Europa,data
432,Man,35-39,Mexico,Master’s degree,Statistician,Insurance/Risk Assessment,"10,000 or more employees",América del Sur,other
433,Man,25-29,India,Master’s degree,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
435,Man,30-34,Indonesia,Master’s degree,Data Analyst,Academics/Education,50-249 employees,Asia,data
436,Man,22-24,India,Bachelor’s degree,Software Engineer,Accounting/Finance,"10,000 or more employees",Asia,developer
441,Man,18-21,Brazil,Bachelor’s degree,Data Scientist,,,América del Sur,data
442,Man,18-21,Indonesia,Bachelor’s degree,Machine Learning Engineer,Academics/Education,250-999 employees,Asia,data
443,Man,30-34,India,Doctoral degree,Research Scientist,Academics/Education,250-999 employees,Asia,data
444,Man,25-29,Indonesia,Doctoral degree,Statistician,Academics/Education,0-49 employees,Asia,other
445,Man,30-34,United States of America,Bachelor’s degree,Program/Project Manager,Online Service/Internet-based Services,"1000-9,999 employees",América del Norte,other
446,Man,22-24,India,Master’s degree,Software Engineer,Accounting/Finance,"10,000 or more employees",Asia,developer
447,Woman,35-39,India,Master’s degree,Software Engineer,Broadcasting/Communications,"1000-9,999 employees",Asia,developer
450,Man,30-34,Nigeria,Master’s degree,Data Scientist,Retail/Sales,0-49 employees,África,data
451,Man,40-44,India,Master’s degree,Data Scientist,Computers/Technology,250-999 employees,Asia,data
452,Man,30-34,United States of America,Bachelor’s degree,Program/Project Manager,Accounting/Finance,0-49 employees,América del Norte,other
453,Man,25-29,United States of America,Master’s degree,Data Analyst,Computers/Technology,"1000-9,999 employees",América del Norte,data
455,Man,18-21,Japan,Bachelor’s degree,Program/Project Manager,Non-profit/Service,0-49 employees,Asia,other
456,Man,35-39,United States of America,Master’s degree,Data Analyst,Computers/Technology,50-249 employees,América del Norte,data
457,Man,22-24,India,Bachelor’s degree,Data Scientist,Computers/Technology,0-49 employees,Asia,data
460,Woman,30-34,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,50-249 employees,Europa,data
461,Man,18-21,China,Master’s degree,Business Analyst,Academics/Education,0-49 employees,Asia,data
462,Man,30-34,India,Bachelor’s degree,Software Engineer,Computers/Technology,"1000-9,999 employees",Asia,developer
466,Woman,25-29,India,Master’s degree,Data Analyst,Retail/Sales,50-249 employees,Asia,data
467,Man,25-29,Austria,Master’s degree,Data Scientist,Energy/Mining,"10,000 or more employees",Europa,data
468,Man,25-29,Nepal,Master’s degree,Software Engineer,Academics/Education,250-999 employees,Asia,developer
470,Man,30-34,Viet Nam,Bachelor’s degree,Software Engineer,,,Asia,developer
471,Man,45-49,India,Professional doctorate,Data Scientist,Computers/Technology,"10,000 or more employees",Asia,data
475,Man,18-21,India,Bachelor’s degree,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",Asia,data
476,Woman,22-24,India,Bachelor’s degree,Data Analyst,Other,"10,000 or more employees",Asia,data
480,Man,35-39,South Korea,Bachelor’s degree,Software Engineer,Online Business/Internet-based Sales,0-49 employees,Asia,developer
481,Woman,50-54,United States of America,Doctoral degree,Data Scientist,Academics/Education,50-249 employees,América del Norte,data
483,Man,25-29,Nigeria,Master’s degree,Statistician,Academics/Education,0-49 employees,África,other
486,Man,35-39,Ghana,Professional doctorate,Program/Project Manager,Medical/Pharmaceutical,50-249 employees,África,other
487,Man,30-34,United States of America,Bachelor’s degree,Data Scientist,Insurance/Risk Assessment,"10,000 or more employees",América del Norte,data
488,Man,45-49,United States of America,Some college/university study without earning a bachelor’s degree,Data Engineer,Broadcasting/Communications,"10,000 or more employees",América del Norte,data
494,Woman,18-21,India,Bachelor’s degree,Machine Learning Engineer,Academics/Education,0-49 employees,Asia,data
496,Man,22-24,Russia,Master’s degree,Machine Learning Engineer,Academics/Education,250-999 employees,Europa,data
497,Man,55-59,Sweden,Doctoral degree,Program/Project Manager,Energy/Mining,0-49 employees,Europa,other
