,edad,pais,nivel de estudios,sector,años de experiencia,años de experiencia en ML,continente,Python, C++, SQL, MATLAB, Other, C, Java, Javascript, R, Swift, Bash, Julia
36,18-21,Egypt,Some college/university study without earning a bachelor’s degree,Computers/Technology,under 1 years,I do not use machine learning methods,África,,,,,Utilizado,,,,,,,
37,22-24,Nepal,Bachelor’s degree,Computers/Technology,under 1 years,Under 1 year,Asia,Utilizado,,,,,,,,,,,
39,25-29,Portugal,Master’s degree,Computers/Technology,5-10 years,4-5 years,Europa,,,,,Utilizado,,,,,,,
40,30-34,"Iran, Islamic Republic of...",Doctoral degree,Academics/Education,under 1 years,1-2 years,África,Utilizado,,,,,,,,,,,
41,18-21,India,Bachelor’s degree,Computers/Technology,under 1 years,Under 1 year,Asia,,,Utilizado,,,,,,,,,
42,22-24,Russia,Bachelor’s degree,Computers/Technology,1-3 years,Under 1 year,Europa,,,Utilizado,,,,,,,,,
43,22-24,United States of America,Master’s degree,Computers/Technology,5-10 years,4-5 years,América del Norte,,Utilizado,,,,,,,,,,
44,22-24,Turkey,Master’s degree,Military/Security/Defense,3-5 years,2-3 years,Asia,Utilizado,,,,,,,,,,,
45,18-21,Indonesia,Master’s degree,Energy/Mining,I have never written code,Under 1 year,Asia,,,,,,,,,,,,
46,22-24,Pakistan,Master’s degree,Online Service/Internet-based Services,under 1 years,1-2 years,Asia,Utilizado,,,,,,,,,,,
47,30-34,China,Master’s degree,Shipping/Transportation,3-5 years,3-4 years,Asia,,,,,,,Utilizado,,,,,
48,30-34,Tunisia,Doctoral degree,Manufacturing/Fabrication,3-5 years,3-4 years,África,Utilizado,,,,,,,,,,,
49,22-24,Canada,Master’s degree,Manufacturing/Fabrication,1-3 years,1-2 years,América del Norte,,,,,,,Utilizado,,,,,
50,25-29,"Iran, Islamic Republic of...",Master’s degree,Computers/Technology,1-3 years,2-3 years,África,Utilizado,,,,,,,,,,,
51,18-21,India,Master’s degree,Academics/Education,1-3 years,I do not use machine learning methods,Asia,,Utilizado,,,,,,,,,,
52,25-29,Egypt,Master’s degree,Non-profit/Service,3-5 years,4-5 years,África,,,Utilizado,,,,,,,,,
53,22-24,Russia,Bachelor’s degree,Online Business/Internet-based Sales,1-3 years,Under 1 year,Europa,,,Utilizado,,,,,,,,,
54,18-21,India,Bachelor’s degree,Computers/Technology,1-3 years,Under 1 year,Asia,,,,,,,Utilizado,,,,,
55,30-34,Germany,Master’s degree,Computers/Technology,3-5 years,2-3 years,Europa,Utilizado,,,,,,,,,,,
56,25-29,Taiwan,Master’s degree,Insurance/Risk Assessment,1-3 years,1-2 years,Asia,Utilizado,,,,,,,,,,,
57,25-29,Chile,Bachelor’s degree,Other,1-3 years,1-2 years,América del Sur,,,Utilizado,,,,,,,,,
58,22-24,India,Bachelor’s degree,Computers/Technology,under 1 years,2-3 years,Asia,,,,,,Utilizado,,,,,,
59,25-29,India,Master’s degree,Academics/Education,under 1 years,Under 1 year,Asia,Utilizado,,,,,,,,,,,
60,30-34,"Iran, Islamic Republic of...",Doctoral degree,Medical/Pharmaceutical,1-3 years,1-2 years,África,,,,Utilizado,,,,,,,,
61,18-21,India,Some college/university study without earning a bachelor’s degree,Non-profit/Service,under 1 years,Under 1 year,Asia,,,,,,,,Utilizado,,,,
62,40-44,Indonesia,Master’s degree,Other,1-3 years,1-2 years,Asia,,,,,Utilizado,,,,,,,
63,35-39,Iraq,Master’s degree,Government/Public Service,3-5 years,2-3 years,África,,,Utilizado,,,,,,,,,
64,25-29,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Academics/Education,3-5 years,1-2 years,Europa,Utilizado,,,,,,,,,,,
65,22-24,India,Bachelor’s degree,Computers/Technology,1-3 years,1-2 years,Asia,,,,Utilizado,,,,,,,,
66,25-29,Germany,Master’s degree,Computers/Technology,1-3 years,1-2 years,Europa,,,,Utilizado,,,,,,,,
67,25-29,Egypt,I prefer not to answer,Computers/Technology,1-3 years,Under 1 year,África,,,Utilizado,,,,,,,,,
68,18-21,India,Bachelor’s degree,Computers/Technology,under 1 years,1-2 years,Asia,,Utilizado,,,,,,,,,,
70,18-21,India,Some college/university study without earning a bachelor’s degree,Computers/Technology,1-3 years,Under 1 year,Asia,,,,,,,,Utilizado,,,,
71,22-24,India,I prefer not to answer,Computers/Technology,under 1 years,Under 1 year,Asia,,,,Utilizado,,,,,,,,
72,25-29,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Service/Internet-based Services,5-10 years,5-10 years,Europa,Utilizado,,,,,,,,,,,
73,30-34,France,Master’s degree,Computers/Technology,3-5 years,4-5 years,Europa,Utilizado,,,,,,,,,,,
74,18-21,India,Bachelor’s degree,Other,1-3 years,Under 1 year,Asia,Utilizado,,,,,,,,,,,
75,18-21,Sweden,Master’s degree,Medical/Pharmaceutical,3-5 years,1-2 years,Europa,,,,,,,Utilizado,,,,,
76,25-29,Nigeria,Master’s degree,Computers/Technology,1-3 years,1-2 years,África,Utilizado,,,,,,,,,,,
77,18-21,Pakistan,Bachelor’s degree,Academics/Education,3-5 years,1-2 years,Asia,Utilizado,,,,,,,,,,,
78,25-29,Egypt,I prefer not to answer,Computers/Technology,3-5 years,Under 1 year,África,,,,,,Utilizado,,,,,,
79,40-44,Norway,Doctoral degree,Non-profit/Service,under 1 years,Under 1 year,Europa,Utilizado,,,,,,,,,,,
80,18-21,India,Master’s degree,Accounting/Finance,5-10 years,3-4 years,Asia,,,,,,,Utilizado,,,,,
81,22-24,India,Master’s degree,Energy/Mining,1-3 years,1-2 years,Asia,Utilizado,,,,,,,,,,,
82,25-29,India,Bachelor’s degree,Broadcasting/Communications,5-10 years,1-2 years,Asia,,,,,,,,Utilizado,,,,
83,18-21,India,Master’s degree,Academics/Education,1-3 years,Under 1 year,Asia,Utilizado,,,,,,,,,,,
84,25-29,India,Master’s degree,Online Business/Internet-based Sales,I have never written code,Under 1 year,Asia,,,,,,,,,,,,
85,18-21,India,Bachelor’s degree,Academics/Education,1-3 years,1-2 years,Asia,,,,Utilizado,,,,,,,,
86,18-21,India,Some college/university study without earning a bachelor’s degree,Computers/Technology,I have never written code,Under 1 year,Asia,,,,,,,,,,,,
87,22-24,India,Bachelor’s degree,Online Business/Internet-based Sales,1-3 years,1-2 years,Asia,,,Utilizado,,,,,,,,,
88,30-34,Taiwan,No formal education past high school,Computers/Technology,5-10 years,1-2 years,Asia,,,,,,,Utilizado,,,,,
89,35-39,India,Master’s degree,Other,5-10 years,5-10 years,Asia,Utilizado,,,,,,,,,,,
90,22-24,India,Bachelor’s degree,Computers/Technology,5-10 years,4-5 years,Asia,,,,,,,,Utilizado,,,,
91,22-24,India,Master’s degree,Retail/Sales,under 1 years,Under 1 year,Asia,,,Utilizado,,,,,,,,,
92,25-29,India,I prefer not to answer,Accounting/Finance,1-3 years,1-2 years,Asia,,Utilizado,,,,,,,,,,
93,18-21,South Korea,No formal education past high school,Computers/Technology,under 1 years,Under 1 year,Asia,Utilizado,,,,,,,,,,,
94,22-24,Viet Nam,Some college/university study without earning a bachelor’s degree,Academics/Education,1-3 years,1-2 years,Asia,,,,,,,Utilizado,,,,,
95,30-34,United States of America,Master’s degree,Accounting/Finance,3-5 years,3-4 years,América del Norte,,,,,,,,,,,Utilizado,
96,30-34,Germany,Doctoral degree,Academics/Education,1-3 years,1-2 years,Europa,,,,Utilizado,,,,,,,,
97,25-29,China,Master’s degree,Computers/Technology,3-5 years,3-4 years,Asia,,,,Utilizado,,,,,,,,
98,18-21,India,Bachelor’s degree,Academics/Education,1-3 years,1-2 years,Asia,,Utilizado,,,,,,,,,,
99,45-49,Taiwan,Master’s degree,Manufacturing/Fabrication,20+ years,4-5 years,Asia,,,,Utilizado,,,,,,,,
100,25-29,India,Master’s degree,Other,1-3 years,1-2 years,Asia,,,,,,,Utilizado,,,,,
101,25-29,India,Master’s degree,Academics/Education,3-5 years,2-3 years,Asia,,,,,,,,,Utilizado,,,
102,22-24,Czech Republic,Master’s degree,Online Business/Internet-based Sales,1-3 years,1-2 years,Europa,,,Utilizado,,,,,,,,,
103,22-24,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Computers/Technology,10-20 years,5-10 years,Europa,,,,Utilizado,,,,,,,,
104,18-21,India,Bachelor’s degree,Academics/Education,1-3 years,1-2 years,Asia,,,,Utilizado,,,,,,,,
105,25-29,France,Master’s degree,Academics/Education,3-5 years,2-3 years,Europa,,,,Utilizado,,,,,,,,
106,25-29,South Korea,Master’s degree,Manufacturing/Fabrication,3-5 years,2-3 years,Asia,,,,,,,,,Utilizado,,,
107,30-34,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Online Business/Internet-based Sales,5-10 years,3-4 years,Europa,,,,,,,,Utilizado,,,,
108,22-24,India,Master’s degree,Energy/Mining,1-3 years,1-2 years,Asia,Utilizado,,,,,,,,,,,
109,30-34,Bangladesh,Doctoral degree,Computers/Technology,5-10 years,Under 1 year,Asia,,,,Utilizado,,,,,,,,
110,35-39,Czech Republic,Doctoral degree,Computers/Technology,5-10 years,5-10 years,Europa,,,Utilizado,,,,,,,,,
111,30-34,Taiwan,No formal education past high school,Broadcasting/Communications,5-10 years,1-2 years,Asia,Utilizado,,,,,,,,,,,
112,30-34,United Arab Emirates,Master’s degree,Academics/Education,5-10 years,2-3 years,Asia,,,,Utilizado,,,,,,,,
113,55-59,Iraq,Doctoral degree,Academics/Education,20+ years,10-20 years,África,,,,,,,Utilizado,,,,,
114,25-29,India,Master’s degree,Insurance/Risk Assessment,1-3 years,1-2 years,Asia,,,,,,,,,,,Utilizado,
115,25-29,India,Bachelor’s degree,Computers/Technology,under 1 years,Under 1 year,Asia,Utilizado,,,,,,,,,,,
117,22-24,India,Master’s degree,Computers/Technology,under 1 years,I do not use machine learning methods,Asia,,,Utilizado,,,,,,,,,
118,25-29,India,Master’s degree,Computers/Technology,1-3 years,Under 1 year,Asia,Utilizado,,,,,,,,,,,
119,22-24,Kazakhstan,Master’s degree,Shipping/Transportation,I have never written code,Under 1 year,Asia,,,,,,,,,,,,
120,22-24,India,Master’s degree,Academics/Education,under 1 years,I do not use machine learning methods,Asia,,,,,,Utilizado,,,,,,
121,18-21,Turkey,Some college/university study without earning a bachelor’s degree,Computers/Technology,1-3 years,Under 1 year,Asia,,Utilizado,,,,,,,,,,
122,18-21,Saudi Arabia,Bachelor’s degree,Academics/Education,1-3 years,Under 1 year,Asia,,,,,,,Utilizado,,,,,
123,25-29,Poland,Master’s degree,Computers/Technology,3-5 years,Under 1 year,Europa,,Utilizado,,,,,,,,,,
124,22-24,Czech Republic,Master’s degree,Computers/Technology,5-10 years,3-4 years,Europa,,Utilizado,,,,,,,,,,
125,40-44,Chile,Master’s degree,Computers/Technology,1-3 years,1-2 years,América del Sur,Utilizado,,,,,,,,,,,
126,40-44,Italy,Doctoral degree,Computers/Technology,10-20 years,10-20 years,Europa,,,,,,,,,,,Utilizado,
127,22-24,India,Some college/university study without earning a bachelor’s degree,Academics/Education,I have never written code,Under 1 year,Asia,,,,,,,,,,,,
128,30-34,Saudi Arabia,Bachelor’s degree,Computers/Technology,under 1 years,Under 1 year,Asia,,,,,,,,Utilizado,,,,
129,25-29,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Military/Security/Defense,1-3 years,2-3 years,Europa,,,,,,,,,Utilizado,,,
131,25-29,United States of America,Master’s degree,Manufacturing/Fabrication,5-10 years,5-10 years,América del Norte,,,,,,,,,,,Utilizado,
134,35-39,"Iran, Islamic Republic of...",Doctoral degree,Academics/Education,3-5 years,3-4 years,África,,Utilizado,,,,,,,,,,
135,35-39,Russia,Master’s degree,Online Service/Internet-based Services,3-5 years,Under 1 year,Europa,,,,,,,,Utilizado,,,,
136,25-29,Canada,Master’s degree,Other,1-3 years,1-2 years,América del Norte,Utilizado,,,,,,,,,,,
137,35-39,India,I prefer not to answer,Computers/Technology,10-20 years,2-3 years,Asia,,,,,,,Utilizado,,,,,
138,30-34,China,Doctoral degree,Other,3-5 years,1-2 years,Asia,,,,Utilizado,,,,,,,,
139,25-29,China,Master’s degree,Academics/Education,under 1 years,Under 1 year,Asia,,,,,,,Utilizado,,,,,
140,25-29,Israel,Master’s degree,Manufacturing/Fabrication,5-10 years,1-2 years,Asia,,,,,,,,,,,Utilizado,
141,18-21,India,Bachelor’s degree,Academics/Education,1-3 years,1-2 years,Asia,,,,,,,Utilizado,,,,,
142,18-21,Viet Nam,Some college/university study without earning a bachelor’s degree,Computers/Technology,under 1 years,Under 1 year,Asia,,,,Utilizado,,,,,,,,
143,22-24,Tunisia,Bachelor’s degree,Academics/Education,3-5 years,1-2 years,África,,,,Utilizado,,,,,,,,
144,18-21,India,Bachelor’s degree,Other,1-3 years,Under 1 year,Asia,,,Utilizado,,,,,,,,,
145,25-29,India,Bachelor’s degree,Academics/Education,under 1 years,Under 1 year,Asia,,,,,,,Utilizado,,,,,
146,22-24,Canada,Doctoral degree,Computers/Technology,1-3 years,Under 1 year,América del Norte,Utilizado,,,,,,,,,,,
147,40-44,United States of America,Bachelor’s degree,Other,under 1 years,Under 1 year,América del Norte,Utilizado,,,,,,,,,,,
148,18-21,Egypt,Some college/university study without earning a bachelor’s degree,Academics/Education,1-3 years,Under 1 year,África,,,,Utilizado,,,,,,,,
149,22-24,China,Some college/university study without earning a bachelor’s degree,Computers/Technology,under 1 years,I do not use machine learning methods,Asia,Utilizado,,,,,,,,,,,
150,18-21,Saudi Arabia,Bachelor’s degree,Academics/Education,1-3 years,1-2 years,Asia,,,,,,,Utilizado,,,,,
151,18-21,India,Master’s degree,Academics/Education,I have never written code,Under 1 year,Asia,,,,,,,,,,,,
152,35-39,United States of America,Master’s degree,Online Service/Internet-based Services,5-10 years,5-10 years,América del Norte,,,Utilizado,,,,,,,,,
153,30-34,Turkey,Doctoral degree,Computers/Technology,3-5 years,Under 1 year,Asia,,,Utilizado,,,,,,,,,
155,18-21,Russia,Bachelor’s degree,Online Service/Internet-based Services,1-3 years,1-2 years,Europa,,,,,,,Utilizado,,,,,
157,22-24,Tunisia,Master’s degree,Academics/Education,I have never written code,Under 1 year,África,,,,,,,,,,,,
158,25-29,India,Master’s degree,Computers/Technology,1-3 years,1-2 years,Asia,Utilizado,,,,,,,,,,,
159,35-39,India,Master’s degree,Computers/Technology,1-3 years,2-3 years,Asia,,,,Utilizado,,,,,,,,
160,25-29,"Iran, Islamic Republic of...",I prefer not to answer,Academics/Education,I have never written code,Under 1 year,África,,,,,,,,,,,,
161,35-39,Argentina,Doctoral degree,Other,3-5 years,4-5 years,América del Sur,,,,Utilizado,,,,,,,,
162,22-24,Viet Nam,Bachelor’s degree,Medical/Pharmaceutical,under 1 years,Under 1 year,Asia,Utilizado,,,,,,,,,,,
163,30-34,India,Master’s degree,Computers/Technology,10-20 years,1-2 years,Asia,,,,,,,,Utilizado,,,,
164,25-29,Taiwan,Master’s degree,Computers/Technology,5-10 years,4-5 years,Asia,,,Utilizado,,,,,,,,,
165,25-29,Egypt,Bachelor’s degree,Computers/Technology,under 1 years,Under 1 year,África,,,,,,,Utilizado,,,,,
166,50-54,Indonesia,Doctoral degree,Academics/Education,20+ years,10-20 years,Asia,,,,Utilizado,,,,,,,,
167,30-34,India,Master’s degree,Computers/Technology,1-3 years,Under 1 year,Asia,Utilizado,,,,,,,,,,,
168,40-44,Netherlands,Bachelor’s degree,Computers/Technology,20+ years,2-3 years,Europa,Utilizado,,,,,,,,,,,
169,50-54,United States of America,Doctoral degree,Computers/Technology,10-20 years,10-20 years,América del Norte,,,,Utilizado,,,,,,,,
170,25-29,India,Bachelor’s degree,Hospitality/Entertainment/Sports,1-3 years,2-3 years,Asia,,,,,Utilizado,,,,,,,
171,35-39,India,Doctoral degree,Academics/Education,1-3 years,4-5 years,Asia,,,,,,,Utilizado,,,,,
172,22-24,South Korea,Bachelor’s degree,Academics/Education,3-5 years,Under 1 year,Asia,,Utilizado,,,,,,,,,,
173,22-24,Egypt,Bachelor’s degree,Non-profit/Service,under 1 years,Under 1 year,África,Utilizado,,,,,,,,,,,
174,25-29,Egypt,Master’s degree,Academics/Education,5-10 years,I do not use machine learning methods,África,,,,Utilizado,,,,,,,,
176,25-29,Thailand,Bachelor’s degree,Manufacturing/Fabrication,1-3 years,I do not use machine learning methods,Asia,,,,Utilizado,,,,,,,,
177,18-21,India,Bachelor’s degree,Academics/Education,under 1 years,Under 1 year,Asia,,,,,,,Utilizado,,,,,
178,25-29,Pakistan,Master’s degree,Online Service/Internet-based Services,1-3 years,2-3 years,Asia,,,,,,,,,,,Utilizado,
